,Unnamed: 0,CaseId,WEIGHT,LGBT,Q1,Q2,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q5,Q5_OE,Q6,Q6_OE,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8G_OE,Q9,Q11,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q15,Q16A,Q16B,Q16C,Q17,Q18,Q19,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q23E,Q23F,Q23G,Q23H,Q23I,Q23J,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q24G,Q24H,Q24I,Q24I_OE,Q24J,Q24AA,Q24AB,Q24AC,Q24AD,Q24AE,Q24AF,Q24AG,Q24AH,Q25,Q26,Q27,Q28_1A,Q28_1B,Q28_1C,Q28_1D,Q28_1E,Q28_1F,Q28_1G,Q28_1H,Q28_1I,Q28_1J,Q28_1K,Q28_2A,Q28_2B,Q28_2C,Q28_2D,Q28_2E,Q28_2F,Q28_3A,Q28_3B,Q28_3C,Q28_3D,Q28_3E,Q28_3F,Q28_4A,Q28_4B,Q28_4C,Q28_4D,Q28_4E,Q28_4F,Q28_4G,Q28_5A,Q28_5B,Q28_5C,Q28_5D,Q28_5E,Q28_5F,Q28_5G,Q28_5H,Q28_5I,Q28_5J,Q28_5K,Q28_5L,Q28_6A,Q28_6B,Q28_6C,Q28_6D,Q28_6E,Q28_7A,Q28_7B,Q28_7C,Q28_7D,Q29,Q30,D4,D5A,D5B,D5C,D5D,D5E,D6,D7A,D7B,D8,D9A,D9B,D9C,D10,D11_1,D11_2,D11_3,D11_4,D11_5,D11_6,D11_DK,D11_SKP,D11_REF,HHSERVACT,D13,D14,D15,D16,D18,D20,D22,PartyID5,PARTYID7,D24A,D24B,D24C,D24D,D24E,D24F,D24G,D24H,D24I,D24J,D24K,D24L,D24M,D24N,D24N_OE,D26,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,LGBTFLAG,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,AgeCheck,Age50plus,Age45plus,Agemember,Wideage,SPSSAge,Newincome,Ageliving,Age65plus,Age70plus,Age75plus,LGBT_NOT,NewD7A,Disablecombo,newdisable,NewD7B,Combodisable,Commtype,Age5064v1,age5064v2,Age65plus2,AgeAll,Generations,Agealt,Agealt2,CASTATE,filter_$,Ownership,housecomp,dumunder18,dumover18,dumcollege,dumparents,dumother,countInHouse,uses_pt,number_of_modes,independent_travel,dependent_travel,both_travel,senior
639,639,2701.0,0.1962911537,Straight (that is not gay/lesbian),Strongly agree,Somewhat agree,Move to a different community,Yes,No,No,Yes,Yes,Yes,Yes,A single family house,,Rent,,Yes,Yes,No,Yes,Yes,Yes,Yes,SKIPPED ON WEB,,No,Yes,A major reason,A minor reason,A major reason,A major reason,A minor reason,A minor reason,A major reason,Not a reason,,,,,,,,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Once a week or more,Personal,Very satisfied,Somewhat likely,,,,,,,,,,,1,1,1,1,1,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Very willing,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,4.0,3.0,4.0,5.0,5.0,4.0,Extremely important,Very important,Somewhat important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Very important,Extremely important,Extremely important,Very important,Extremely important,SKIPPED ON WEB,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Somewhat interested,Very willing,No,Yes,Yes,Yes,No,No,Good,,No,Several times a week,3,3,3,No,,,,,,,,,,0.0,"No, I never served",No,No,Not very likely,Employed part-time,Speak Spanish and English equally,Always,Lean Democrat,Lean Democrat,Major source,Major source,Not a source,Major source,Not a source,Major source,Minor source,Minor source,Major source,Not a source,Major source,Major source,Minor source,SKIPPED ON WEB,,"Urban near mix of offices, apartments and shops",2018-03-28 13:01:57,2018-03-28 13:09:16,7.0,Web Interview,English,Desktop,,Male,46.0,45-59,45-54,Hispanic,Bachelors degree,BA or above,Widowed,Working - as a paid employee,"$20,000 to $24,999",Nebraska,Midwest,West North Central,Metro Area,Non-internet household,Rented for cash,A building with 2 or more apartments,Cellphone only,1.0,0.0,0.0,0.0,0.0,1.0,40-49,18-49,45+,35-49,45-49,45-59,Less than $25K,40-49,45-49,45-49,45-49,NOT LGBT,,,0.0,No,No,Urban,18-49,18-49,18-49,35-49,Gen X,45-64,45-64,Other,Selected,Rent,,Yes,Yes,Yes,Other,Other,3.0,0,5,0,0,1,0
643,643,2718.0,0.0167018753,Straight (that is not gay/lesbian),Neither agree nor disagree,Neither agree nor disagree,Move into a different residence within your current community,Yes,Yes,Yes,No,No,No,Yes,A two family house or a lot that has two separate living units,,Rent,,Not sure,,,,,,,,,No,Yes,A minor reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,,,,,,,,,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,A few times per year,Personal,Somewhat satisfied,Somewhat likely,Not a reason,A minor reason,A minor reason,Not a reason,A minor reason,Not a reason,Not a reason,A minor reason,A minor reason,Not a reason,0,0,0,0,0,0,0,No,No,,1,No,No,No,Yes,No,No,No,No,No,,Somewhat willing,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Not very important,2.0,3.0,3.0,3.0,3.0,3.0,Not very important,Not very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Not very important,Not very important,Very important,Not very important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat interested,Somewhat willing,Yes,Yes,Yes,No,No,No,Very good,"Yes, both myself and my [Y_D7A]",,Once a week,1,1,1,Yes,No,Yes,No,No,No,No,No,No,No,0.0,,Yes,Yes,,Employed full-time,Speak Spanish and English equally,About half of the time,Don't Lean/Independent/None,Don't Lean/Independent/None,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,Minor source,,"Suburban with a mix of offices, apartments and shops",2018-03-27 23:22:49,2018-03-27 23:45:32,22.0,Web Interview,English,Smartphone,,Male,49.0,45-59,45-54,Hispanic,"Some college, no degree",Some college,Married,Working - as a paid employee,"$20,000 to $24,999",New York,Northeast,Mid-Atlantic,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,6.0,0.0,0.0,1.0,0.0,5.0,40-49,18-49,45+,35-49,45-49,45-59,Less than $25K,40-49,45-49,45-49,45-49,NOT LGBT,Both myself and spouse or partner,,Yes disability,0.0,Yes disability,Suburban,18-49,18-49,18-49,35-49,Gen X,45-64,45-64,Other,Selected,Rent,,Yes,Yes,Other,Other,Other,2.0,0,1,0,0,0,0
644,644,2722.0,1.7508693047,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Move into a different residence within your current community,Yes,No,Yes,Yes,No,Yes,Yes,A single family house,,Own,,No,,,,,,,,,No,No,,,,,,,,,A major reason,A minor reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,A major reason,Not a reason,No,Yes,Yes,Not sure,No,Yes,Yes,Yes,No,,,,Not at all likely,A major reason,A minor reason,A major reason,A minor reason,A minor reason,Not a reason,Not a reason,Not a reason,Not a reason,A major reason,0,1,0,0,0,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not at all familiar,Somewhat willing,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,3.0,3.0,5.0,3.0,4.0,4.0,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Not very interested,Somewhat willing,No,No,No,No,No,No,Good,"Yes, myself",,Everyday,1,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Not at all likely,Or are you not in the labor force for other reasons,,Always,Lean Republican,Lean Republican,Not a source,Major source,Not a source,Major source,Not a source,Not a source,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Rural area,2018-03-31 18:36:02,2018-03-31 19:03:07,27.0,Web Interview,English,Desktop,,Female,89.0,60+,75+,"White, non-Hispanic",Bachelors degree,BA or above,Married,Not working - retired,"$100,000 to $124,999",Oklahoma,South,West South Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,70+,60+,$75K+,65+,65+,70+,75+,NOT LGBT,Yes,,Yes disability,0.0,Yes disability,Small Town-Rural,65+,65+,65+,50+,The Silent Generation,85+,85+,Other,Selected,Own,,Other,Other,Other,Other,Other,0.0,0,1,1,0,0,1
646,646,2725.0,0.2877432356,Straight (that is not gay/lesbian),Strongly agree,Somewhat agree,Stay in your current residence and never move,Yes,No,Yes,No,No,Yes,Yes,A single family house,,REFUSED,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,REFUSED,No,Yes,Not sure,DON’T KNOW,DON’T KNOW,Yes,Yes,No,,,,Not very likely,DON’T KNOW,DON’T KNOW,DON’T KNOW,DON’T KNOW,DON’T KNOW,A major reason,DON’T KNOW,DON’T KNOW,A major reason,DON’T KNOW,1,1,1,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not at all familiar,DON’T KNOW,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,3.0,3.0,3.0,4.0,4.0,4.0,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat interested,Not very willing,Yes,No,No,No,No,No,Good,,No,Everyday,0,0,0,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Retired and not working at all,,Most of the time,Lean Democrat,Lean Democrat,Not a source,Major source,Not a source,Not a source,REFUSED,REFUSED,REFUSED,Not a source,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,,Urban and mostly residential,2018-03-28 16:49:19,2018-03-28 17:19:14,29.0,Phone interview,English,Phone interview (not online),,Female,81.0,60+,75+,"Black, non-Hispanic","Some college, no degree",Some college,Widowed,Not working - retired,"$25,000 to $29,999",Missouri,Midwest,West North Central,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",1.0,0.0,0.0,0.0,0.0,1.0,65+,50+,45+,65+,70+,60+,"$25K-$49,999K",65+,65+,70+,75+,NOT LGBT,,,0.0,No,No,Urban,65+,65+,65+,50+,The Silent Generation,75-84,75-84,Other,Selected,,,Other,Other,Other,Other,Other,0.0,0,3,0,0,1,1
647,647,2733.0,1.2401177047,Straight (that is not gay/lesbian),Neither agree nor disagree,Neither agree nor disagree,Move to a different community,Yes,No,Yes,No,No,No,Yes,An apartment,,Rent,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Not very likely,Not a reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Somewhat willing,Very important,Very important,Very important,Extremely important,Very important,Very important,Very important,Somewhat important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,4.0,5.0,4.0,4.0,4.0,4.0,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Very important,Very important,Extremely interested,Extremely willing,No,Yes,No,No,No,No,Good,,Yes,Everyday,0,0,0,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Employed full-time,,Always,Democrat,Moderate Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-03-27 11:27:38,2018-03-27 11:35:20,7.0,Web Interview,English,Desktop,,Female,32.0,30-44,25-34,"Other, non-Hispanic",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),HS graduate or equivalent,Never married,Working - as a paid employee,"$25,000 to $29,999",Massachusetts,Northeast,New England,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,3.0,0.0,0.0,1.0,0.0,2.0,30-39,18-49,18-44,18-34,18-44,30-44,"$25K-$49,999K",30-39,18-44,18-44,18-44,NOT LGBT,,,0.0,Yes disability,Yes disability,Urban,18-49,18-49,18-49,25-34,Gen Y,18-44,,Other,Selected,Rent,,Yes,Other,Other,Other,Other,1.0,0,1,1,0,0,0
648,648,2735.0,1.438796024,Straight (that is not gay/lesbian),Strongly agree,Somewhat agree,Move to a different community,Yes,No,Yes,Yes,No,No,Yes,An apartment,,Rent,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,Yes,Yes,Once a month,Personal,Very satisfied,Very likely,,,,,,,,,,,1,1,0,0,1,0,1,No,No,,0,,,,,,,,,Yes,Not at all familiar,Somewhat willing,Very important,Very important,Not very important,Somewhat important,Very important,Extremely important,Somewhat important,Somewhat important,Very important,Extremely important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,4.0,5.0,5.0,5.0,4.0,2.0,Extremely important,Extremely important,Somewhat important,Very important,Extremely important,Extremely important,Very important,Somewhat important,Not very important,Not very important,Somewhat important,Not very important,Somewhat important,Not very important,Not very important,Not very important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very interested,Not very willing,No,No,No,No,No,No,Very good,,No,Once a week,1,1,1,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Employed full-time,Speak English only,Seldom,Democrat,Moderate Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-04-01 19:26:56,2018-04-01 19:37:58,11.0,Web Interview,English,Smartphone,,Female,31.0,30-44,25-34,Hispanic,Bachelors degree,BA or above,Never married,Working - as a paid employee,"$40,000 to $49,999",Massachusetts,Northeast,New England,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2.0,0.0,0.0,0.0,0.0,2.0,30-39,18-49,18-44,18-34,18-44,30-44,"$25K-$49,999K",30-39,18-44,18-44,18-44,NOT LGBT,,,0.0,No,No,Urban,18-49,18-49,18-49,25-34,Gen Y,18-44,,Other,Selected,Rent,,Other,Other,Other,Other,Other,0.0,1,4,0,0,1,0
649,649,2739.0,3.8466422621,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Stay in your current residence and never move,No,Yes,Yes,Yes,Yes,No,Yes,A single family house,,Own,,Yes,Yes,Yes,Not sure,Yes,Yes,No,No,,No,Not sure,,,,,,,,,Not a reason,A major reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,No,,,,Somewhat likely,Not a reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,A major reason,A major reason,A major reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not at all familiar,Somewhat willing,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Extremely important,Very important,3.0,4.0,3.0,2.0,4.0,5.0,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Not very interested,Somewhat willing,No,Yes,No,No,Yes,Yes,Good,No,,Once a week,2,2,2,Yes,No,No,No,No,No,Yes,No,No,No,0.0,,No,No,Somewhat likely,Employed part-time,,Never,Republican,Strong Republican,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Small town,2018-03-27 23:07:05,2018-03-27 23:32:07,25.0,Web Interview,English,Smartphone,,Male,49.0,45-59,45-54,"Asian, non-Hispanic",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),HS graduate or equivalent,Married,Working - as a paid employee,"$25,000 to $29,999",Ohio,Midwest,East North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No telephone service,5.0,0.0,1.0,1.0,0.0,3.0,40-49,18-49,45+,35-49,45-49,45-59,"$25K-$49,999K",40-49,45-49,45-49,45-49,NOT LGBT,No,,No,0.0,No,Small Town-Rural,18-49,18-49,18-49,35-49,Gen X,45-64,45-64,Other,Selected,Own,,Yes,Other,Other,Yes,Yes,3.0,0,1,1,0,0,0
650,650,2741.0,2.9657176299,Straight (that is not gay/lesbian),Somewhat disagree,Somewhat disagree,Move to a different community,Yes,No,Yes,No,No,Yes,Yes,A single family house,,Own,,No,,,,,,,,,No,Yes,A major reason,A minor reason,A major reason,A major reason,A major reason,A major reason,Not a reason,A major reason,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,I have used it before but do not regularly use it,Personal,Somewhat satisfied,Not very likely,Not a reason,A major reason,Not a reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,Not a reason,0,1,0,0,0,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Not very willing,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Extremely important,Very important,Very important,3.0,4.0,4.0,4.0,4.0,4.0,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not very interested,Not very willing,No,No,No,No,No,Yes,Excellent,No,,Several times a week,0,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Very likely,Employed full-time,,Always,Republican,Moderate Republican,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-23 15:01:40,2018-03-23 15:12:13,10.0,Web Interview,English,Desktop,,Female,54.0,45-59,45-54,"White, non-Hispanic","Some college, no degree",Some college,Married,Working - as a paid employee,"$125,000 to $149,999",Georgia,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",2.0,0.0,0.0,0.0,0.0,2.0,50-59,50+,45+,50-64,50-59,45-59,$75K+,50-64,50-64,50-59,50-64,NOT LGBT,No,,No,0.0,No,Suburban,50-64,50-64,50-64,50+,Baby Boomers,45-64,45-64,Other,Selected,Own,,Other,Other,Other,Other,Yes,1.0,0,1,1,0,0,0
655,655,2749.0,1.6107967229,Straight (that is not gay/lesbian),Strongly agree,Strongly disagree,Move to a different community,Yes,No,No,No,No,No,Yes,A single family house,,Live with family or others and do not pay rent,,Not sure,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,Not sure,Yes,No,Yes,Yes,No,,,,Not at all likely,Not a reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,A minor reason,Not a reason,A major reason,A major reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not too familiar,Not at all willing,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,5.0,5.0,4.0,5.0,5.0,4.0,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely interested,Extremely willing,No,No,No,No,No,Yes,Excellent,,No,Never,3,1,0,No,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Unemployed and looking for work,,Always,Democrat,Strong Democrat,Not a source,Minor source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Small town,2018-03-27 17:43:15,2018-03-27 18:06:56,23.0,Web Interview,English,Smartphone,,Male,27.0,18-29,25-34,"Black, non-Hispanic",11th grade,No HS diploma,Never married,Working - self-employed,"$10,000 to $14,999",North Carolina,South,South Atlantic,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",3.0,0.0,0.0,0.0,0.0,3.0,25-29,18-49,18-44,18-34,18-44,18-29,Less than $25K,18-29,18-44,18-44,18-44,NOT LGBT,,,0.0,No,No,Small Town-Rural,18-49,18-49,18-49,25-34,Gen Y,18-44,,Other,Selected,Other,,Other,Other,Other,Other,Yes,1.0,0,1,1,0,0,0
659,659,2760.0,0.0365907565,Bisexual,Somewhat agree,Somewhat agree,Move into a different residence within your current community,Yes,No,Yes,No,No,No,Yes,A single family house,,Rent,,No,,,,,,,,,No,Not sure,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Currently share my home with someone,,,,Yes,Yes,Once a month,Personal,Very satisfied,Very likely,,,,,,,,,,,1,1,0,0,1,0,0,No,No,,0,,,,,,,,,Yes,Not too familiar,Somewhat willing,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Not very important,Extremely important,Very important,Somewhat important,Somewhat important,5.0,5.0,4.0,4.0,2.0,1.0,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Somewhat important,Extremely important,Not at all important,Not at all important,Extremely important,Very important,Extremely important,Very important,Not at all important,Extremely important,Somewhat important,Not at all important,Extremely important,Very important,Extremely important,Somewhat important,Very important,Not at all important,Extremely important,Very important,Somewhat important,Very important,Not very interested,Not at all willing,No,No,No,No,No,No,Very good,No,,Everyday,1,1,1,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Not very likely,Employed full-time,Speak English most of the time,Most of the time,Democrat,Strong Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Urban and mostly residential,2018-03-27 20:57:36,2018-03-27 21:13:39,16.0,Web Interview,English,Smartphone,1.0,Female,24.0,18-29,18-24,Hispanic,"Some college, no degree",Some college,Living with partner,Working - as a paid employee,"$25,000 to $29,999",Nebraska,Midwest,West North Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2.0,0.0,0.0,0.0,0.0,2.0,18-24,18-49,18-44,18-34,18-44,18-29,"$25K-$49,999K",18-29,18-44,18-44,18-44,LGBT,No,,No,0.0,No,Urban,18-49,18-49,18-49,18-24,Gen Y,18-44,,Other,Selected,Rent,,Other,Other,Other,Other,Other,0.0,0,3,0,0,1,0
660,660,2764.0,0.0625116073,Gay/lesbian,Somewhat agree,Strongly disagree,Move into a different residence within your current community,Yes,No,Yes,No,No,No,Yes,A single family house,,Own,,Yes,Yes,Yes,No,I already have this feature in my home,Yes,Not sure,No,,No,Not sure,,,,,,,,,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,A major reason,Not a reason,No,No,No,Currently share my home with someone,,,,Yes,No,,,,Not at all likely,Not a reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not too familiar,Very willing,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Somewhat important,Extremely important,Somewhat important,Very important,Extremely important,Extremely important,Extremely important,3.0,4.0,5.0,3.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Somewhat important,Very important,Very important,Not very interested,Not at all willing,No,No,Yes,No,Yes,Yes,Good,"Yes, both myself and my [Y_D7A]",,Several times a week,1,1,1,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,No,Yes,,Or are you not in the labor force for other reasons,,About half of the time,Democrat,Strong Democrat,Not a source,Major source,Major source,Major source,Not a source,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Suburban and mostly residential,2018-03-25 03:06:30,2018-03-25 03:27:14,20.0,Web Interview,English,Desktop,1.0,Female,56.0,45-59,55-64,"White, non-Hispanic","Some college, no degree",Some college,Married,Not working - disabled,"$5,000 to $9,999",Indiana,Midwest,East North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2.0,0.0,0.0,0.0,0.0,2.0,50-59,50+,45+,50-64,50-59,45-59,Less than $25K,50-64,50-64,50-59,50-64,LGBT,Both myself and spouse or partner,,Yes disability,0.0,Yes disability,Suburban,50-64,50-64,50-64,50+,Baby Boomers,45-64,45-64,Other,Selected,Own,,Other,Yes,Other,Yes,Yes,3.0,0,1,1,0,0,0
